Date,Weekday,Avg. Temperature,sunshine_duration_in_min,rain_time_in_min,Costs,Clicks,TV,Radio,ATL - Media,Users,aantal_geaccepterrd,unieke_opens,Partner Voucherorders,Marketing_campagne_cat,Multi-cat_type,Speciale_dag,Grand Total
08-08-2018,woensdag,19.6,252,114,5820.72,11967,0,283.175483870968,283.175483870968,53543,6,4,168,Flowers,,,21469
09-08-2018,donderdag,17.2,186,270,5657.72,12040,0,283.175483870968,283.175483870968,41671,7,2,136,Flowers,,,21056
10-08-2018,vrijdag,16.5,474,300,5044.89,11186,0,283.175483870968,283.175483870968,44330,7,3,127,Flowers,,,20404
11-08-2018,zaterdag,15.6,654,36,3902.32,8004,0,283.175483870968,283.175483870968,29935,7,2,74,Flowers,,,20240
12-08-2018,zondag,19.8,174,0,4194.47,9233,0,283.175483870968,283.175483870968,29417,5,1,63,Flowers,,,20141
13-08-2018,maandag,18.7,156,150,6567.92,13804,0,283.175483870968,283.175483870968,46613,23,3,111,Multi-cat,Personalized,,10311
14-08-2018,dinsdag,18.8,372,36,6193.53,12893,0,283.175483870968,283.175483870968,49097,11,6,113,Multi-cat,Personalized,,15533
15-08-2018,woensdag,19.7,90,0,5380.61,12563,0,283.175483870968,283.175483870968,41907,60,10,112,Multi-cat,Personalized,,25876
16-08-2018,donderdag,18.4,474,48,4980.57,11975,0,283.175483870968,283.175483870968,41561,37,10,101,Multi-cat,Personalized,,23252
17-08-2018,vrijdag,17.4,534,162,4509.11,10854,0,283.175483870968,283.175483870968,37323,8,4,52,Multi-cat,Personalized,,20604
18-08-2018,zaterdag,17.8,288,0,3435.89,7942,0,283.175483870968,283.175483870968,28608,15,5,23,Multi-cat,Personalized,,21872
19-08-2018,zondag,19.4,12,0,4017.59,9375,0,283.175483870968,283.175483870968,29148,5,1,49,Multi-cat,Personalized,,18191
20-08-2018,maandag,19.6,216,0,6198.94,13390,0,283.175483870968,283.175483870968,44932,4,2,60,Cards,,,10414
21-08-2018,dinsdag,20,348,0,6416.4,13779,0,283.175483870968,283.175483870968,62755,5,4,54,Cards,,,16887
22-08-2018,woensdag,19.5,612,0,6522.48,13311,0,283.175483870968,283.175483870968,48674,10,10,54,Cards,,,28511
23-08-2018,donderdag,18.3,42,54,6581.44,13768,0,283.175483870968,283.175483870968,47885,8,5,39,Cards,,,30531
24-08-2018,vrijdag,15.5,504,132,6208.97,13198,0,283.175483870968,283.175483870968,53975,26,4,52,Cards,,,25547
25-08-2018,zaterdag,12.7,402,432,4148.61,9075,0,283.175483870968,283.175483870968,34766,6,1,32,Cards,,,26171
26-08-2018,zondag,14.5,366,132,4209.2,10248,0,283.175483870968,283.175483870968,33492,15,3,41,Cards,,,29709
27-08-2018,maandag,17.1,54,54,6413.04,14143,0,4617.81107142857,4617.81107142857,60125,14,6,52,Flowers,,,15579
28-08-2018,dinsdag,16.7,258,0,7165.22,15366,0,4617.81107142857,4617.81107142857,74525,51,7,56,Flowers,,,23095
29-08-2018,woensdag,14.7,120,222,7755.35,15816,0,4617.81107142857,4617.81107142857,53469,31,2,42,Flowers,,,25599
30-08-2018,donderdag,15,564,0,7384.46,14500,0,4617.81107142857,4617.81107142857,72269,22,4,46,Flowers,,,26746
31-08-2018,vrijdag,12.4,126,0,7694.21,13305,0,4617.81107142857,4617.81107142857,50301,17,9,38,Flowers,,,25931
01-09-2018,zaterdag,13.5,624,0,4410.38,8693,0,4627.24107142857,4627.24107142857,32220,32,7,14,Flowers,,,25149
02-09-2018,zondag,15.9,606,0,5061.48,10423,0,4627.24107142857,4627.24107142857,33112,13,3,19,Flowers,,,22115
03-09-2018,maandag,18.6,96,0,8789.1,15333,0,4627.24107142857,4627.24107142857,59994,25,6,30,Flowers,,,12602
04-09-2018,dinsdag,20.6,216,0,7789.68,14419,0,9278.26857142857,9278.26857142857,50275,4,1,31,Balloons,,,17294
05-09-2018,woensdag,19,198,102,7702.36,15318,0,9278.26857142857,9278.26857142857,49221,63646,8,32,Balloons,,,27689
06-09-2018,donderdag,16.6,60,216,7825.66,15727,0,9278.26857142857,9278.26857142857,61180,72539,3,25,Balloons,,,24466
07-09-2018,vrijdag,14.6,510,216,6447.34,13566,0,9278.26857142857,9278.26857142857,45063,7,1,25,Balloons,,,26348
08-09-2018,zaterdag,14.8,240,0,4143.38,9147,0,9278.26857142857,9278.26857142857,31468,27,4,11,Balloons,,,25620
09-09-2018,zondag,18.3,330,0,5285.59,11327,0,9278.26857142857,9278.26857142857,34674,15,7,23,Balloons,,,21508
10-09-2018,maandag,17.4,54,0,7817.71,15417,0,292.614666666667,292.614666666667,45746,5,1,60,Multi-cat,"Cake, Chocolate",,10800
11-09-2018,dinsdag,18.8,120,0,7833.87,15052,0,292.614666666667,292.614666666667,45771,11,4,66,Multi-cat,"Cake, Chocolate",,17703
12-09-2018,woensdag,15.3,12,54,7619.47,15159,0,292.614666666667,292.614666666667,45068,18,9,45,Multi-cat,"Cake, Chocolate",,24582
13-09-2018,donderdag,13,696,0,7573.34,14777,0,292.614666666667,292.614666666667,55818,10,6,42,Multi-cat,"Cake, Chocolate",,24965
14-09-2018,vrijdag,13.5,456,0,6435.5,13214,0,292.614666666667,292.614666666667,41576,9,0,34,Multi-cat,"Cake, Chocolate",,24422
15-09-2018,zaterdag,14.7,366,24,4113.44,9004,0,292.614666666667,292.614666666667,30855,12,3,24,Multi-cat,"Cake, Chocolate",,24788
16-09-2018,zondag,14.6,306,0,4525.71,10962,0,292.614666666667,292.614666666667,31696,3,0,32,Multi-cat,"Cake, Chocolate",,19195
17-09-2018,maandag,15.3,624,0,7841.53,15714,0,292.614666666667,292.614666666667,51705,7,40,47,Cards,,,9772
18-09-2018,dinsdag,18.9,684,0,7469.55,15215,0,292.614666666667,292.614666666667,53875,10,29,34,Cards,,,17480
19-09-2018,woensdag,19.1,492,0,7797.01,15755,0,292.614666666667,292.614666666667,46781,74,15,37,Cards,,,26327
20-09-2018,donderdag,19.7,444,0,7171.94,14959,0,292.614666666667,292.614666666667,44895,33,17,37,Cards,,,26738
21-09-2018,vrijdag,15.4,306,174,6749.5,14078,0,292.614666666667,292.614666666667,47739,13,3,42,Cards,,,24026
22-09-2018,zaterdag,12.1,96,432,3963.2,9075,0,292.614666666667,292.614666666667,31219,26,4,17,Cards,,,22322
23-09-2018,zondag,9.5,24,540,4924.67,11694,0,292.614666666667,292.614666666667,39186,19,4,41,Cards,,,24712
24-09-2018,maandag,9.9,546,18,6336.55,14955,0,292.614666666667,292.614666666667,69462,107,29,46,Multi-cat,"Balloons, Flowers, Mugs, Chocolate",,13795
25-09-2018,dinsdag,9.4,612,0,6159,14544,0,292.614666666667,292.614666666667,64999,13,3,42,Multi-cat,"Balloons, Flowers, Mugs, Chocolate",,24721
26-09-2018,woensdag,11.9,558,0,6504.33,14852,0,292.614666666667,292.614666666667,58751,7,0,54,Multi-cat,"Balloons, Flowers, Mugs, Chocolate",,25750
27-09-2018,donderdag,13.2,648,0,5874.64,13910,0,292.614666666667,292.614666666667,46953,17,26,37,Multi-cat,"Balloons, Flowers, Mugs, Chocolate",,24877
28-09-2018,vrijdag,11.4,438,0,4561.61,10418,0,292.614666666667,292.614666666667,42644,14,5,37,Multi-cat,"Balloons, Flowers, Mugs, Chocolate",,26047
29-09-2018,zaterdag,7.5,618,0,3239.82,7527,0,292.614666666667,292.614666666667,664,11,2,15,Multi-cat,"Balloons, Flowers, Mugs, Chocolate",,23005
30-09-2018,zondag,9.9,498,0,4193.96,10040,0,292.614666666667,292.614666666667,33476,17,4,40,Multi-cat,"Balloons, Flowers, Mugs, Chocolate",,19938
01-10-2018,maandag,9.5,444,186,7001.67,15548,0,5168.18389105058,5168.18389105058,49394,4,3,57,Multi-cat,"Flowers, Chocolate, Mugs, Beverage",,10156
02-10-2018,dinsdag,11.7,204,288,6688.04,14786,0,5168.18389105058,5168.18389105058,53613,17,2,137,Multi-cat,"Flowers, Chocolate, Mugs, Beverage",,16623
03-10-2018,woensdag,12.6,432,0,5911.76,14367,0,5168.18389105058,5168.18389105058,54038,6,0,1108,Multi-cat,"Flowers, Chocolate, Mugs, Beverage",,24819
04-10-2018,donderdag,14.7,48,0,5294.27,13280,0,5168.18389105058,5168.18389105058,51677,25,10,1305,Multi-cat,"Flowers, Chocolate, Mugs, Beverage",,26126
05-10-2018,vrijdag,12.8,618,0,4476.67,11486,0,5168.18389105058,5168.18389105058,42245,10,1,1018,Multi-cat,"Flowers, Chocolate, Mugs, Beverage",,25283
06-10-2018,zaterdag,13.9,540,0,2700.07,7420,0,5168.18389105058,5168.18389105058,28556,15,5,433,Multi-cat,"Flowers, Chocolate, Mugs, Beverage",,23097
07-10-2018,zondag,10.1,504,0,3915.47,10147,0,5168.18389105058,5168.18389105058,33335,3,1,633,Multi-cat,"Flowers, Chocolate, Mugs, Beverage",,19221
08-10-2018,maandag,9.5,462,0,5982.89,14643,0,7393.57455252918,7393.57455252918,48357,8,3,772,Cards,,,9786
09-10-2018,dinsdag,10.9,516,0,5458.37,14730,0,7393.57455252918,7393.57455252918,68552,19,5,702,Cards,,,17220
10-10-2018,woensdag,15.1,600,0,5378.38,13809,0,7393.57455252918,7393.57455252918,59461,31,19,913,Cards,,,25058
11-10-2018,donderdag,17.6,366,0,5068.76,13386,0,7393.57455252918,7393.57455252918,51494,10,6,630,Cards,,,31064
12-10-2018,vrijdag,18.7,540,30,4655.9,11963,0,7393.57455252918,7393.57455252918,49755,6,1,587,Cards,,,25063
13-10-2018,zaterdag,20,570,0,3145.61,7633,0,283.175483870968,283.175483870968,28881,211,55,265,Cards,,,21760
14-10-2018,zondag,17.4,486,0,3709.79,9485,0,283.175483870968,283.175483870968,32194,1,1,438,Cards,,,25240
15-10-2018,maandag,16.1,366,0,5769.65,13757,0,283.175483870968,283.175483870968,52237,4,7,528,Balloons,,,11266
16-10-2018,dinsdag,15.3,444,0,5498.12,13332,0,283.175483870968,283.175483870968,64439,10,7,462,Balloons,,,18035
17-10-2018,woensdag,13.2,324,0,5704.56,13500,0,283.175483870968,283.175483870968,49706,14,6,423,Balloons,,,23494
18-10-2018,donderdag,12.2,450,0,5908.2,13072,0,283.175483870968,283.175483870968,54398,21,9,359,Balloons,,,23543
19-10-2018,vrijdag,9.2,522,0,5092.76,11512,0,283.175483870968,283.175483870968,42965,14,5,320,Balloons,,,21849
20-10-2018,zaterdag,8.6,228,0,3664.89,8286,0,283.175483870968,283.175483870968,30278,12,0,184,Balloons,,,21490
21-10-2018,zondag,12.2,204,0,4312.87,9735,0,283.175483870968,283.175483870968,33407,18,3,302,Balloons,,,18495
22-10-2018,maandag,10.8,402,12,5837.03,13416,0,283.175483870968,283.175483870968,46258,9,4,347,Multi-cat,"Flowers, Chocolate, Baby&Kids, Beauty, Beverage",,10490
23-10-2018,dinsdag,12.8,6,0,5506.57,13431,0,283.175483870968,283.175483870968,48981,20,5,346,Multi-cat,"Flowers, Chocolate, Baby&Kids, Beauty, Beverage",,16257
24-10-2018,woensdag,14,180,60,5436.12,13460,0,283.175483870968,283.175483870968,47670,36,26,322,Multi-cat,"Flowers, Chocolate, Baby&Kids, Beauty, Beverage",,23236
25-10-2018,donderdag,12.1,6,30,5675.03,13804,0,283.175483870968,283.175483870968,46587,21,5,335,Multi-cat,"Flowers, Chocolate, Baby&Kids, Beauty, Beverage",,23299
26-10-2018,vrijdag,9.5,0,366,5508.96,12901,0,283.175483870968,283.175483870968,42460,12,4,316,Multi-cat,"Flowers, Chocolate, Baby&Kids, Beauty, Beverage",,22823
27-10-2018,zaterdag,7.1,426,156,3515.75,8584,0,283.175483870968,283.175483870968,30460,13,2,209,Multi-cat,"Flowers, Chocolate, Baby&Kids, Beauty, Beverage",,21817
28-10-2018,zondag,4,510,0,4344.19,11069,0,283.175483870968,283.175483870968,34743,47,10,271,Multi-cat,"Flowers, Chocolate, Baby&Kids, Beauty, Beverage",,20949
29-10-2018,maandag,4.4,0,0,6901.65,15566,0,5665.71696498055,5665.71696498055,49909,8,2,394,Multi-cat,All,,10914
30-10-2018,dinsdag,5.7,0,708,7152.93,16238,0,5665.71696498055,5665.71696498055,66746,48,12,395,Multi-cat,All,,18338
31-10-2018,woensdag,8.5,378,72,6502.07,15699,0,5665.71696498055,5665.71696498055,58545,25,7,442,Multi-cat,All,,24867
01-11-2018,donderdag,10.4,54,384,6463.42,15237,0,5675.14696498055,5675.14696498055,49646,31,14,165,Multi-cat,All,,27960
02-11-2018,vrijdag,7.8,426,168,5543.9,13126,0,5675.14696498055,5675.14696498055,48377,21,11,119,Multi-cat,All,,22852
03-11-2018,zaterdag,4.3,390,0,3456.67,8835,0,5675.14696498055,5675.14696498055,32022,4,0,79,Multi-cat,All,,24068
04-11-2018,zondag,5.9,426,0,4591.29,11633,0,5675.14696498055,5675.14696498055,36151,8,4,101,Multi-cat,All,,21462
05-11-2018,maandag,7.7,144,0,6956.61,16629,0,6187.76953307393,6187.76953307393,61740,43,12,171,Multi-cat,All,,11678
06-11-2018,dinsdag,12.4,354,0,7291.13,16364,0,6187.76953307393,6187.76953307393,64113,85,26,177,Multi-cat,All,,17569
07-11-2018,woensdag,11.1,114,90,6903.71,16064,0,6187.76953307393,6187.76953307393,71214,74,24,217,Multi-cat,All,,27960
08-11-2018,donderdag,9.2,468,0,6526.11,14799,0,6187.76953307393,6187.76953307393,53705,56,10,322,Multi-cat,All,,25473
09-11-2018,vrijdag,9,180,0,5512.34,12966,0,6187.76953307393,6187.76953307393,46138,14,4,302,Multi-cat,All,,23330
10-11-2018,zaterdag,11.6,6,330,4179.23,9622,0,6187.76953307393,6187.76953307393,33295,27,8,101,Multi-cat,All,,23521
11-11-2018,zondag,11.4,24,228,5131.1,11839,0,6187.76953307393,6187.76953307393,36490,57,11,99,Multi-cat,All,,21092
12-11-2018,maandag,10,12,444,7093.53,16594,0,292.614666666667,292.614666666667,60139,164,52,107,Cards,,,12211
13-11-2018,dinsdag,10.2,390,24,6472.44,15302,0,292.614666666667,292.614666666667,48164,31,12,77,Cards,,,17977
14-11-2018,woensdag,8,462,0,6318.1,15310,0,292.614666666667,292.614666666667,45995,100,28,89,Cards,,,29197
15-11-2018,donderdag,6.9,432,0,5604.36,13997,0,292.614666666667,292.614666666667,44714,73,16,57,Cards,,,26007
16-11-2018,vrijdag,3.4,120,0,5287.32,12879,0,292.614666666667,292.614666666667,66201,28,12,59,Cards,,,24503
17-11-2018,zaterdag,4.1,438,0,3352.86,8324,0,292.614666666667,292.614666666667,32608,70,11,49,Cards,,,23787
18-11-2018,zondag,2.9,420,0,4214.46,10715,0,292.614666666667,292.614666666667,36618,21,5,65,Cards,,,27865
19-11-2018,maandag,4.9,12,6,6102.91,14928,0,292.614666666667,292.614666666667,55852,316,66,91,Books,,,12135
20-11-2018,dinsdag,3.4,0,0,6405.36,14937,0,292.614666666667,292.614666666667,56023,63,14,96,Books,,,19116
21-11-2018,woensdag,3.4,18,30,6555.04,15386,0,292.614666666667,292.614666666667,50026,105,24,98,Books,,,30157
22-11-2018,donderdag,3.2,12,0,6329.61,14552,0,292.614666666667,292.614666666667,45053,104,22,76,Books,,,28150
23-11-2018,vrijdag,3.2,120,0,5329.8,12991,0,292.614666666667,292.614666666667,55528,75,13,77,Books,,,27616
24-11-2018,zaterdag,2.4,0,0,4163.6,10457,0,292.614666666667,292.614666666667,34616,40,7,46,Books,,,25962
25-11-2018,zondag,3.4,0,0,4920.19,11979,0,292.614666666667,292.614666666667,43599,82,10,90,Books,,,23387
26-11-2018,maandag,4.9,0,0,7055.5,15957,0,292.614666666667,292.614666666667,66158,52,15,110,Multi-cat,Chocolate,,11118
27-11-2018,dinsdag,3.3,0,0,6922.54,15529,0,292.614666666667,292.614666666667,52843,84,21,147,Multi-cat,Chocolate,,24155
28-11-2018,woensdag,6.1,0,324,7483.26,16031,0,292.614666666667,292.614666666667,53614,66,13,177,Multi-cat,Chocolate,,32499
29-11-2018,donderdag,10.2,0,672,8541.7,16327,0,292.614666666667,292.614666666667,57206,123,16,167,Multi-cat,Chocolate,,32361
30-11-2018,vrijdag,9.6,96,0,7408.8,14292,0,292.614666666667,292.614666666667,56150,33,5,327,Multi-cat,Chocolate,,34036
01-12-2018,zaterdag,7.7,66,432,5442.24,10330,0,283.175483870968,283.175483870968,37086,61,9,231,Multi-cat,Chocolate,,31891
02-12-2018,zondag,12,0,672,6343,13041,0,283.175483870968,283.175483870968,60299,131,29,224,Multi-cat,Chocolate,,28769
03-12-2018,maandag,11.4,78,198,8920.07,17433,0,283.175483870968,283.175483870968,64394,85,15,411,Chocolate,,,16466
04-12-2018,dinsdag,4.8,348,24,8629.84,17128,0,283.175483870968,283.175483870968,58846,46,9,419,Chocolate,,,38310
05-12-2018,woensdag,5.5,0,282,7872.47,15233,0,283.175483870968,283.175483870968,50387,45,10,349,Chocolate,,,49340
06-12-2018,donderdag,11.1,0,360,7639.07,15475,0,283.175483870968,283.175483870968,49802,85,26,368,Chocolate,,,41000
07-12-2018,vrijdag,10,0,720,6771.37,15188,11000,283.175483870968,11283.175483871,60501,78,23,362,Chocolate,,,37497
08-12-2018,zaterdag,9.1,0,480,5346.29,11526,11000,283.175483870968,11283.175483871,42921,40,7,1414,Chocolate,,,43773
09-12-2018,zondag,8.1,108,486,8102.16,16593,11000,283.175483870968,11283.175483871,52849,79,16,1204,Chocolate,,,43186
10-12-2018,maandag,5.5,144,216,11116.51,22073,11000,283.175483870968,11283.175483871,76433,119,32,269,Cards,,,32413
11-12-2018,dinsdag,3.9,162,12,12361.45,22936,11000,283.175483870968,11283.175483871,79267,341,177,493,Cards,,,49948
12-12-2018,woensdag,0.8,0,0,12591.63,24440,11000,283.175483870968,11283.175483871,86675,495,232,730,Cards,,,71654
13-12-2018,donderdag,0.8,390,0,12348.38,22899,11000,283.175483870968,11283.175483871,75911,479,278,677,Cards,,,74814
14-12-2018,vrijdag,0.9,384,0,12733.95,22293,11000,283.175483870968,11283.175483871,74833,338,174,787,Cards,,,89631
15-12-2018,zaterdag,0.3,0,42,9954.65,19125,11000,283.175483870968,11283.175483871,59987,151,79,500,Cards,,,82153
16-12-2018,zondag,1.4,0,240,18485.92,29247,11000,283.175483870968,11283.175483871,123843,139,20,561,Cards,,,77083
17-12-2018,maandag,5.6,0,378,20197.99,33073,11000,283.175483870968,11283.175483871,123090,9541918,2815217,686,Multi-cat,"Flowers, Cards",,55267
18-12-2018,dinsdag,6.4,120,0,18708.87,31753,11000,283.175483870968,11283.175483871,117628,119,39,551,Multi-cat,"Flowers, Cards",,125377
19-12-2018,woensdag,7.4,36,30,18466.95,32757,11000,283.175483870968,11283.175483871,118789,138710,40426,549,Multi-cat,"Flowers, Cards",,105930
20-12-2018,donderdag,7.5,0,120,18090.75,32104,11000,283.175483870968,11283.175483871,112024,57773,17885,512,Multi-cat,"Flowers, Cards",,95790
21-12-2018,vrijdag,9.7,0,672,15549.48,28074,11000,283.175483870968,11283.175483871,95502,88032,21649,392,Multi-cat,"Flowers, Cards",,93566
22-12-2018,zaterdag,9.6,30,276,3327.57,9670,0,283.175483870968,283.175483870968,55836,46826,14071,253,Multi-cat,"Flowers, Cards",,86109
23-12-2018,zondag,7.1,0,756,799.02,1746,0,283.175483870968,283.175483870968,57134,37909,13857,225,Multi-cat,"Flowers, Cards",,74707
24-12-2018,maandag,5.7,300,0,324.57,0,0,283.175483870968,283.175483870968,44268,82064,22261,149,Beverage,,,28930
25-12-2018,dinsdag,5.6,132,0,327.01,0,0,283.175483870968,283.175483870968,25945,22520,6824,82,Beverage,,,26495
26-12-2018,woensdag,4,0,0,651.06,472,0,283.175483870968,283.175483870968,26797,56020,15297,135,Beverage,,,16764
27-12-2018,donderdag,0.8,126,0,5966.09,11840,0,283.175483870968,283.175483870968,52015,93958,22825,206,Beverage,,,8231
28-12-2018,vrijdag,2.3,0,0,5750.19,12202,0,283.175483870968,283.175483870968,45776,90261,25169,173,Beverage,,,12610
29-12-2018,zaterdag,7.9,0,66,2454.67,7591,0,283.175483870968,283.175483870968,34376,153880,47245,185,Beverage,,,28191
30-12-2018,zondag,8.5,0,312,2039.98,6155,0,283.175483870968,283.175483870968,38877,49616,15421,184,Beverage,,,26358
31-12-2018,maandag,8.9,18,42,,,0,283.175483870968,283.175483870968,59360,246435,74900,145,Multi-cat,Beverage,,15650
01-01-2019,dinsdag,7.7,66,120,392.51,504,0,0,0,35921,96,22,113,Multi-cat,Beverage,,17149
02-01-2019,woensdag,5.4,54,24,6595.75,12751,0,0,0,52979,63994,19712,228,Multi-cat,Beverage,,10153
03-01-2019,donderdag,4,180,0,6214.42,12741,0,0,0,42590,114763,34968,180,Multi-cat,Beverage,,11374
04-01-2019,vrijdag,5.1,0,0,4891.02,10776,0,0,0,38714,141835,40231,203,Multi-cat,Beverage,,25750
05-01-2019,zaterdag,7,0,78,4089.51,9507,0,0,0,966,92678,27844,136,Multi-cat,Beverage,,22286
06-01-2019,zondag,6.1,42,0,4890.27,11541,0,0,0,33803,71893,23230,194,Multi-cat,Beverage,,20073
07-01-2019,maandag,6.7,0,72,6819.7,15228,0,0,0,59749,103374,28674,245,Multi-cat,Cards,,12028
08-01-2019,dinsdag,7.1,0,0,6485.89,14768,0,0,0,49670,155125,37020,240,Multi-cat,Cards,,19578
09-01-2019,woensdag,4.9,390,18,6181.74,14299,0,0,0,45534,102232,30177,258,Multi-cat,Cards,,29245
10-01-2019,donderdag,3,0,318,5637.53,13441,0,0,0,46362,137139,35608,270,Multi-cat,Cards,,25726
11-01-2019,vrijdag,6.8,0,336,5104.91,13014,0,0,0,51897,45750,12027,207,Multi-cat,Cards,,25186
12-01-2019,zaterdag,7.6,0,390,3467.94,9387,0,0,0,33734,209519,55571,192,Multi-cat,Cards,,22255
